"User Genome","Classification","FastANI Reference","FastANI Reference Radius","FastANI Taxonomy","FastANI ANI","FastANI Alignment Fraction","Closest Placement Reference","Closest Placement Taxonomy","Closest Placement ANI","Closest Placement Alignment Fraction","Classification Method","Note","Other Related References","MSA AA Percent","RED Value","Warnings"
"3300060478_136__dereplicated_genomes","d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__RBG-16-71-46;g__JACRPT01;s__","-","-","-","-","-","GCA_016223045.1","d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__RBG-16-71-46;g__JACRPT01;s__JACRPT01 sp016223045","79.61","0.394","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","76.84","0.91232","-"
"3300060478_139__dereplicated_genomes","d__Bacteria;p__Actinomycetota;c__Geothermincolia;o__Fen-727;f__Anoxymicrobiaceae;g__JAGUWJ01;s__","-","-","-","-","-","GCA_020062425.1","d__Bacteria;p__Actinomycetota;c__Geothermincolia;o__Fen-727;f__Anoxymicrobiaceae;g__JAGUWJ01;s__JAGUWJ01 sp020062425","77.48","0.23","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","87.15","0.86834","-"
"3300060478_151__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__JAFGXF01;s__","-","-","-","-","-","GCA_016936755.1","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__JAFGXF01;s__JAFGXF01 sp016936755","78.43","0.219","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","81.63","0.96995","-"
"3300060478_165__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__RPQJ01;s__","-","-","-","-","-","-","-","-","-","ANI","classification based on placement in class-level tree","GCA_016705325.1, s__RPQJ01 sp016705325...","61.09","0.89076","-"
"3300060478_167__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__9FT-COMBO-48-23;s__","-","-","-","-","-","-","-","-","-","ANI","classification based on placement in class-level tree","GCA_016875875.1, s__9FT-COMBO-48-23 sp...","84.97","0.9438","-"
"3300060478_192__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__RBG-13-51-36;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","73.19","0.93954","-"
"3300060478_217__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA2200;f__UBA2200;g__UBA2232;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","86.67","0.84844","-"
"3300060478_234__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__DRKV01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","82.22","0.83036","-"
"3300060478_252__dereplicated_genomes","d__Bacteria;p__4484-113;c__4484-113;o__4484-113;f__4484-113;g__JAGGTK01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","68.6","0.87355","-"
"3300060478_335__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__RBG-16-64-43;g__FEN-1073;s__","-","-","-","-","-","GCA_003141675.1","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__RBG-16-64-43;g__FEN-1073;s__FEN-1073 sp003141675","80.07","0.575","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","79.4","0.93965","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_336__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__RBG-13-51-18;s__","-","-","-","-","-","GCA_903915565.1","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__RBG-13-51-18;s__RBG-13-51-18 sp903915565","78.03","0.461","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016930185.1, s__RBG-13-51-18 sp016...","84.03","0.95779","-"
"3300060478_349__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__RBG-16-57-11;s__","-","-","-","-","-","GCA_001795165.1","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__RBG-16-57-11;s__RBG-16-57-11 sp001795165","79.05","0.369","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","70.96","0.9627","-"
"3300060478_361__dereplicated_genomes","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__CAIYOL01;s__","-","-","-","-","-","GCA_903927855.1","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__CAIYOL01;s__CAIYOL01 sp903927855","82.13","0.702","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","73.17","0.94294","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_375__dereplicated_genomes","d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__JAFGBI01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","77.78","0.88889","-"
"3300060478_411__dereplicated_genomes","d__Bacteria;p__4484-113;c__JAJVIF01;o__JAGGVT01;f__JAGGVT01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","90.33","0.80384","-"
"3300060478_412__dereplicated_genomes","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__UBA11712;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","67.75","0.81306","Genome has more than 11.7% of markers with multiple hits"
"3300060478_419__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__JAIQGC01;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_020072785.1, s__JAIQGC01 sp0200727...","93.11","0.9734","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_433__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__E44-bin88;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","70.17","0.88586","-"
"3300060478_434__dereplicated_genomes","d__Bacteria;p__Desulfobacterota_F;c__SM23-61;o__SM23-61;f__SM23-61;g__JAHJQK01;s__","-","-","-","-","-","GCA_018819135.1","d__Bacteria;p__Desulfobacterota_F;c__SM23-61;o__SM23-61;f__SM23-61;g__JAHJQK01;s__JAHJQK01 sp018819135","79.72","0.408","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016875165.1, s__JAHJQK01 sp0168751...","86.63","0.92398","-"
"3300060478_438__dereplicated_genomes","d__Bacteria;p__Omnitrophota;c__Koll11;o__GIF10;f__Profunditerraquicolaceae;g__JALOCB01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","69.12","0.86641","-"
"3300060478_462__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SHXO01;g__SHXO01;s__","-","-","-","-","-","-","-","-","-","ANI","classification based on placement in class-level tree","GCA_020854105.1, s__SHXO01 sp020854105...","65.06","0.88947","-"
"3300060478_466__dereplicated_genomes","d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__RBG-16-71-46;g__WS-3;s__","-","-","-","-","-","GCA_005893225.1","d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__RBG-16-71-46;f__RBG-16-71-46;g__WS-3;s__WS-3 sp005893225","78.41","0.287","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","69.91","0.90847","-"
"3300060478_479__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAAYAM01;s__","-","-","-","-","-","GCA_016929335.1","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAAYAM01;s__JAAYAM01 sp016929335","80.66","0.561","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","61.93","0.95223","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_487__dereplicated_genomes","d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","77.32","0.698","-"
"3300060478_488__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__","-","-","-","-","-","GCA_022865305.1","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp022865305","89.82","0.773","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_015712185.1, s__LD21 sp015712185, ...","74.78","0.97439","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_495__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","75.09","0.86928","-"
"3300060478_497__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__UBA4085;g__JAAZPG01;s__","-","-","-","-","-","GCA_012797375.1","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__UBA4085;g__JAAZPG01;s__JAAZPG01 sp012797375","80.4","0.659","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016931595.1, s__JAAZPG01 sp0169315...","90.17","0.95545","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_500__dereplicated_genomes","d__Bacteria;p__Desulfobacterota_F;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__GWA2-54-12;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_001795535.1, s__GWA2-54-12 sp00179...","89.79","0.97167","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_510__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__RBG-16-64-43;g__FEN-1073;s__","-","-","-","-","-","GCA_003141675.1","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__RBG-16-64-43;g__FEN-1073;s__FEN-1073 sp003141675","79.98","0.548","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","78.79","0.94441","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_511__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__RBG-16-66-30;s__","-","-","-","-","-","GCA_017883305.1","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__RBG-16-66-30;s__RBG-16-66-30 sp017883305","84.9","0.67","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_001775715.1, s__RBG-16-66-30 sp001...","78.27","0.95903","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_516__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__","-","-","-","-","-","GCA_003520925.1","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__LD21 sp003520925","77.86","0.318","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","71.6","0.95855","-"
"3300060478_579__dereplicated_genomes","d__Bacteria;p__Eisenbacteria;c__RBG-16-71-46;o__JAFGJU01;f__JAFGJU01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","78.75","0.82095","-"
"3300060478_594__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__RBG-16-58-11;g__RBG-16-58-11;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_021812385.1, s__RBG-16-58-11 sp021...","70.35","0.96048","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_608__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA2162;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","79.21","0.83803","-"
"3300060478_612__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__RBG-16-58-11;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","60.44","0.80745","-"
"3300060478_621__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA2162;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","58.73","0.83475","-"
"3300060478_630__dereplicated_genomes","d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__SCTJ01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","76.29","0.79857","-"
"3300060478_64__dereplicated_genomes","d__Bacteria;p__Armatimonadota;c__CAIYQO01;o__WVXJ01;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","73.37","0.74302","-"
"3300060478_650__dereplicated_genomes","d__Bacteria;p__Planctomycetota;c__DG-23;o__SLPQ01;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","77.91","0.56502","-"
"3300060478_669__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","90.67","0.84556","-"
"3300060478_676__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030;g__JADGQA01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","78.83","0.89789","-"
"3300060478_688__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAAYAM01;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","88.36","0.92032","-"
"3300060478_699__dereplicated_genomes","d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__JABFXX01;s__","-","-","-","-","-","GCA_005887925.1","d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__JABFXX01;s__JABFXX01 sp005887925","83.71","0.511","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_013812655.1, s__JABFXX01 sp0138126...","75.91","0.9491","Genome has more than 10.0% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_70__dereplicated_genomes","d__Bacteria;p__Omnitrophota;c__Koll11;o__GIF10;f__Profunditerraquicolaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","64.77","0.82941","-"
"3300060478_736__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__UBA4823;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","68","0.88667","-"
"3300060478_73__dereplicated_genomes","d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Palsa-1315;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_005239475.1, s__Palsa-1315 sp00523...","78.29","0.96897","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_754__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__Fen-336;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","86.14","0.78931","-"
"3300060478_766__dereplicated_genomes","d__Bacteria;p__SZUA-182;c__SZUA-182;o__DTGQ01;f__DTGQ01;g__DTGQ01;s__","-","-","-","-","-","GCA_023512255.1","d__Bacteria;p__SZUA-182;c__SZUA-182;o__DTGQ01;f__DTGQ01;g__DTGQ01;s__DTGQ01 sp023512255","76.41","0.168","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","79.68","0.89111","-"
"3300060478_770__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__Fen-1064;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","69.97","0.84289","-"
"3300060478_772__dereplicated_genomes","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__Fen-1364;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","71.44","0.85448","-"
"3300060478_785__dereplicated_genomes","d__Bacteria;p__Nitrospirota;c__UBA9217;o__UBA9217;f__UBA9217;g__JALNZF01;s__","-","-","-","-","-","GCA_023229435.1","d__Bacteria;p__Nitrospirota;c__UBA9217;o__UBA9217;f__UBA9217;g__JALNZF01;s__JALNZF01 sp023229435","78.77","0.287","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","70.69","0.9012","-"
"3300060478_823__dereplicated_genomes","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","83.91","0.86542","-"
"3300060478_825__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Acidiferrobacterales;f__UBA6901;g__UBA6901;s__","-","-","-","-","-","GCA_002451085.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Acidiferrobacterales;f__UBA6901;g__UBA6901;s__UBA6901 sp002451085","78.02","0.352","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","88.48","0.88401","-"
"3300060478_827__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__RBG-16-51-16;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","77.64","0.95069","-"
"3300060478_828__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__Polarisedimenticolales;f__Polarisedimenticolaceae;g__JAIQFR01;s__","-","-","-","-","-","GCA_020073205.1","d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__Polarisedimenticolales;f__Polarisedimenticolaceae;g__JAIQFR01;s__JAIQFR01 sp020073205","81.33","0.532","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","78.49","0.91546","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060478_835__dereplicated_genomes","d__Bacteria;p__Desulfobacterota_F;c__WTBG01;o__JAGOGO01;f__JAGOGO01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","79.56","0.77024","-"
"3300060478_836__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__UBA890;o__;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","71.16","0.40151","-"
"3300060478_848__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Acidiferrobacterales;f__UBA6901;g__UBA6901;s__","-","-","-","-","-","GCA_002451085.1","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Acidiferrobacterales;f__UBA6901;g__UBA6901;s__UBA6901 sp002451085","78.04","0.267","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","72.51","0.8796","-"
"3300060478_855__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Fen-336;f__Fen-336;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","82.18","0.84125","-"
"3300060478_870__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__RBG-13-51-36;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","73.03","0.94106","-"
"3300060478_873__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","73.82","0.88101","-"
"3300060478_875__dereplicated_genomes","d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","80.18","0.87444","-"
"3300060478_883__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","65.58","0.88455","-"
"3300060478_884__dereplicated_genomes","d__Bacteria;p__Desulfobacterota_F;c__BSN033;o__BSN033;f__UBA1163;g__JACAEX01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","66.06","0.86352","Genome has more than 14.2% of markers with multiple hits"
"3300060478_917__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SG8-39;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","73.31","0.90371","-"
"3300060607_100__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__UBA6911;o__UBA6911;f__UBA6911;g__JAAYAM01;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","84.81","0.92031","-"
"3300060607_1045__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__EnvOPS12;g__UBA877;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","64.99","0.96223","-"
"3300060607_1071__dereplicated_genomes","d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","56.52","0.69894","-"
"3300060607_1094__dereplicated_genomes","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SZUA-6;f__Fen-1364;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","80.75","0.86136","-"
"3300060607_1106__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__","-","-","-","-","-","GCA_009694265.1","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__Pseudolabrys sp009694265","84.28","0.796","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_016185205.1, s__Pseudolabrys sp016...","95.11","0.97349","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060607_1189__dereplicated_genomes","d__Bacteria;p__Desulfobacterota_F;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__","-","-","-","-","-","GCA_002311635.1","d__Bacteria;p__Desulfobacterota_F;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__UBA1163 sp002311635","78.55","0.29","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_002780715.1, s__UBA1163 sp00278071...","65.58","0.93086","-"
"3300060607_1232__dereplicated_genomes","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__WHUA01;s__","-","-","-","-","-","GCA_009377445.1","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__WHUA01;s__WHUA01 sp009377445","83.4","0.685","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","-","76.56","0.92104","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060607_1235__dereplicated_genomes","d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__RBG-16-66-30;g__RBG-16-66-30;s__","-","-","-","-","-","-","-","-","-","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_014894455.1, s__RBG-16-66-30 sp014...","69.39","0.9538","Genome not assigned to closest species as it falls outside its pre-defined ANI radius"
"3300060607_1242__dereplicated_genomes","d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","72.91","0.70142","-"
"3300060607_129__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5629;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","68","0.89526","-"
"3300060607_135__dereplicated_genomes","d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__JAFGIB01;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","72.57","0.83532","-"
"3300060607_1__dereplicated_genomes","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__JAEWAE01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","71.84","0.8453","-"
"3300060607_236__dereplicated_genomes","d__Bacteria;p__KSB1;c__UBA2214;o__UBA2214;f__DYKH01;g__DYKH01;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","94.76","0.86458","-"
"3300060607_250__dereplicated_genomes","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__UBA5072;s__","-","-","-","-","-","-","-","-","-","taxonomic classification fully defined by topology","classification based on placement in class-level tree","-","80.75","0.95528","-"
"3300060607_255__dereplicated_genomes","d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5629;g__;s__","-","-","-","-","-","-","-","-","-","taxonomic novelty determined using RED","classification based on placement in class-level tree","-","62.46","0.78545","-"
